country_code,continent
JPN,Asia
RUS,Europe
FRA,Europe
AUS,Oceania
CAN,America
BUL,Europe
GBR,Europe
SRB,Europe
USA,America
ESP,Europe
CZE,Europe
ITA,Europe
GEO,Europe
SUI,Europe
HUN,Europe
CHI,America
LTU,Europe
ARG,America
GER,Europe
RSA,Africa
CRO,Europe
BEL,Europe
TUN,Africa
LAT,Europe
BLR,Europe
IND,Asia
POR,Europe
NZL,Oceania
GRE,Europe
SVK,Europe
AUT,Europe
KOR,Asia
ROU,Europe
MDA,Europe
URU,America
NED,Europe
SLO,Europe
CYP,Europe
KAZ,Asia
TPE,Asia
UZB,Asia
BIH,Europe
UKR,Europe
POL,Europe
NOR,Europe
BOL,America
BRA,America
COL,America
SWE,Europe
TUR,Europe
CHN,Asia
BAR,America
DOM,America
ECU,America
FIN,Europe
GUA,America
MEX,America
PER,America
ESA,America
INA,Asia
THA,Asia
PHI,Asia
DEN,Europe
EGY,Africa
ALG,Africa
ZIM,Africa
LUX,Europe
PAK,Asia
ISR,Asia
EST,Europe
MAR,Africa
HKG,Asia
IRL,Europe
LIB,Africa
SRI,Asia
VEN,America
MNE,Europe
PAR,America
PNG,Oceania
SIN,Asia
LIE,Europe
GRN,Europe
BAH,America
CUB,America
TRI,America
OMA,Africa
MLT,Europe
MKD,Europe
KGZ,Asia
MAS,Asia
BDI,Africa
MRI,Africa
PUR,America
SAM,Oceania
KEN,Africa
ARM,Asia
NAM,Africa
REU,Africa
UNK,Europe
MON,Europe
HAI,America
VIE,Europe
HON,America
PAN,America
CRC,America
SGP,Asia
TJK,Asia
POC,Unknown
IRI,Asia
PHL,Asia
MGL,Asia
GUM,Oceania
GAB,Africa
NGR,Africa
GUD,America
CAM,Asia
CMR,Africa
KUW,Asia
MAD,Africa
AND,Europe
DEU,Europe
NLD,Europe
NGA,Africa
GRC,Europe
